OBJECT_ID,ALARM_ID,ALARM_LVL,ALARM_DESC,ALARM_DESC_TW,HAPPENED_REASON,SOLUSTION
AGV,29,Warn,IsCarrierIdReadReplyTimeout,IsCarrierIdReadReplyTimeout,AGV讀取CST超時,"1.確認AGV車內有 CST
2.確認 Keyence 裝置正常"
AGV,30,Warn,VehicleHasAlarm,VehicleHasAlarm,車輛有Alram無法執行轉換命令,
AGV,31,Warn,ManualToAutoFail,ManualToAutoFail,MoveControl狀態為非閒置狀態無法切換到自動模式。,
AGV,32,Warn,ManualToAutoFail,ManualToAutoFail,實際位置為空，無法切換到自動模式。,
AGV,33,Warn,IsNotTransferCannotAvoid,IsNotTransferCannotAvoid,車輛未在轉換中拒絕迴避,
AGV,34,Warn,IsNotMoveStepCannotAvoid,IsNotMoveStepCannotAvoid,車輛不處於移動步驟，拒絕迴避。,
AGV,35,Warn,IsNotPauseCannotAvoid,IsNotPauseCannotAvoid,車輛不會因後備拒絕而暫停行駛。,
AGV,36,Warn,CheckAvoidException,CheckAvoidException,避免檢查中發生異常。,
AGV,37,Alarm,AgvcCallEms,AgvcCallEms,AGVC下EMS,1.查看 AGVC 狀態 
AGV,38,Warn,InterlockError,InterlockError,當loadunload和retry count = 0時發生互鎖錯誤。,
AGV,39,Alarm,PositionError,PositionError,"AGV進行台車補正確認時, 如果手臂補正通知 Fail, 則會發此警告",
AGV,40,Warn,SendWaitTimeout,SendWaitTimeout,發送等待超時,
AGV,100000,Alarm,MoveControl Exception,MoveControl Exception,MoveControl主Thread(線)跳Exception,"1.查看Log ( Motion, MoveControl)
2.聯絡Mirle"
AGV,100001,Warn,Send PLC to Stop AGV,Send PLC to Stop AGV,"通知PLC斷電
1.台車要求斷284V","1.查看Log ( Motion, MoveControl)
2.確認 Elmo 連線是否可以正常連線, 如果不行請確認網路線及 Elmo 控制器及驅動器"
AGV,100002,Alarm,Command out of trigger range,Command out of trigger range,"超過觸發區間
1.送出移動命令時台車不在預定的位置","1.確認地上Barcode狀況(是否有損毀, 變形, 移動狀況發生)
2.查看Log ( Motion, MoveControl)
3.查看扭力值變化是否異常(旋轉軸走行軸), 並根據根據異常扭力檢修輪子"
AGV,100100,Alarm,Move : Initail Wheel Angle Timeout,Move : Initail Wheel Angle Timeout,"Move_啟動前旋轉角度不到位
1.旋轉輪角度不在預定位置
2.台車輪子旋轉不順","1.查看Log ( Motion, MoveControlCsv)
2.查看扭力值變化是否異常(旋轉軸), 並根據根據異常扭力檢修輪子"
AGV,100101,Alarm,Move : Enable allAxis Timeout,Move : Enable allAxis Timeout,"Move_EnableTimeout
1.ServoOn所有走行輪子timeout","1.查看Log (Motion), 並根據Elmo 所提供的異常碼 ec,mf, EE[1] 查找驅動器異查碼手冊
2.根據驅動器的異常碼查找相關問題"
AGV,100200,Warn,Reserve : Get Reserve with MoveControl Idle,Reserve : Get Reserve with MoveControl Idle,Reserve_在Idle下取得Reserve,
AGV,100201,Warn,Reserve : Get Reserve position not math,Reserve : Get Reserve position not math,Reserve_取得不匹配的Reserve點,"1.查看Log(查看 Debug)
2.聯絡Mirle"
AGV,100202,Alarm,Reserve : Command's Reserve out of ReserveList's Range,Reserve : Command's Reserve out of ReserveList's Range,"Reserve_指令動作的ReserveIndex超過ReserveList範圍
1.要的Reserve長度不匹配","1.查看Log(查看 Debug)
2.聯絡Mirle"
AGV,100300,Alarm,SlowStop : Timeout,SlowStop : Timeout,SlowStop_Timeout,"1.查看Log (Motion), 並根據Elmo 所提供的異常碼 ec,mf, EE[1] 查找驅動器異查碼手冊
2.根據驅動器的異常碼查找相關問題"
AGV,100400,Alarm,STurn : AGV turning too fast,STurn : AGV turning too fast,TR_入彎超速,"1.查看Log (可察看扭力值,速度值,馬達position)
2.檢修驅動器或是輪子"
AGV,100401,Alarm,STurn : AGV turning too slow,STurn : AGV turning too slow,TR_入彎過慢,"1.查看Log (可察看扭力值,速度值,馬達position)
2.檢修驅動器或是輪子"
AGV,100402,Warn,STurn : AGV turning with GroupTurn not Ready,STurn : AGV turning with GroupTurn not Ready,STurn_GT動作中,
AGV,100403,Alarm,STurn : AGV turning with wrong path,STurn : AGV turning with wrong path,STurn_不再路徑上,"1.檢查入彎點, 出彎點 Barcode是否正常
2.查看 Log (可察看扭力值,速度值,馬達position)
3.檢修驅動器或是輪子"
AGV,100404,Alarm,STurn : one of wheels turning too slow,STurn : one of wheels turning too slow,STurn_舵輪旋轉過慢,"1.檢查入彎點, 出彎點 Barcode是否正常
2.查看 Log (可察看扭力值,速度值,馬達position)
3.檢修驅動器或是輪子"
AGV,100405,Alarm,STurn : stop in STurn feature distable,STurn : stop in STurn feature distable,STurn_未開啟TR中停止,"功能設定警告訊息, 請檢查設定"
AGV,100406,Alarm,STurn : continue in STurn feature distable,STurn : continue in STurn feature distable,STurn_未開啟STurn中重新啟動,"功能設定警告訊息, 請檢查設定"
AGV,100500,Alarm,RTurn : AGV turning too fast,RTurn : AGV turning too fast,RTurn_入彎超速,"1.查看Log (可察看扭力值,速度值,馬達position)
2.檢修驅動器或是輪子"
AGV,100501,Alarm,RTurn : AGV turning too slow,RTurn : AGV turning too slow,RTurn_入彎過慢,"1.查看Log (可察看扭力值,速度值,馬達position)
2.檢修驅動器或是輪子"
AGV,100502,Alarm,RTurn : Virtual Axis not Link,RTurn : Virtual Axis not Link,RTurn_虛擬軸沒有Link,"1.查看異常碼 ec,mf 並對照驅動器異查碼手冊"
AGV,100503,Alarm,RTurn : Turn direction format error,RTurn : Turn direction format error,RTurn_轉向資料格式錯誤,"1.查看Log(查看 MoveControl)
2.聯絡Mirle"
AGV,100504,Alarm,RTurn : stop in RTurn feature distable,RTurn : stop in RTurn feature distable,RTurn_未開啟RTurn中重新啟動,"功能設定警告訊息, 請檢查設定"
AGV,100505,Alarm,RTurn : RTurn Control timeout,RTurn : RTurn Control timeout,RTurn_流程Timeout,"1.查看Log(MoveControl)
2.查看Log (可察看扭力值,速度值,馬達position)
3.檢修驅動器或是輪子"
AGV,100506,Alarm,RTurn : stop in can't continue step,RTurn : stop in can't continue step,RTurn_停止在無法再啟動步驟,"1.查看Log(MoveControl)
2.查看Log (可察看扭力值,速度值,馬達position)
3.檢修驅動器或是輪子"
AGV,100507,Alarm,RTurn : continue in RTurn feature distable,RTurn : continue in RTurn feature distable,RTurn_未開啟RTurn中停止,功能設定警告訊息
AGV,100600,Alarm,StopAndClear : Timeout,StopAndClear : Timeout,StopAndClear_Timeout,"1.查看Log(MoveControl)
2.聯絡Mirle"
AGV,100700,Warn,SecondCorrection : Timeout,SecondCorrection : Timeout,End_SecondCorrectionTimeout,"1.查看Log(MoveControl)
2.聯絡Mirle"
AGV,100701,Warn,SecondCorrection : Disable Timeout,SecondCorrection : Disable Timeout,End_DisableTimeout,功能設定警告訊息
AGV,101000,Alarm,MoveMethod Initail Fail,MoveMethod Initail Fail,MoveMethod層_初始化失敗,"1.重新開啟程式
2.確認 EAS2 Elmo 連線正常 (如果異常需更換 Elmo 相關元件或網路線調整)
3. 聯絡 Mirle"
AGV,101001,Alarm,MoveMethod Driver Command Fail,MoveMethod Driver Command Fail,MoveMethod層_DriverReturnFalse,"1.重新開啟程式
2.確認 EAS2 Elmo 連線正常 (如果異常需更換 Elmo 相關元件或網路線調整)
3. 聯絡 Mirle"
AGV,101100,Alarm,MotionDriver_Elmo Initail Fail,MotionDriver_Elmo Initail Fail,"MotionDriver_Elmo初始化失敗
1. ELMO 控制器異常","1.重新開啟程式
2.確認 EAS2 Elmo 連線正常 (如果異常需更換 Elmo 相關元件或網路線調整)
3. 聯絡 Mirle"
AGV,101101,Alarm,MotionDriver_Elmo Connect Fail,MotionDriver_Elmo Connect Fail,"MotionDriver_Elmo連線失敗
1. ELMO控制器連線失敗","1.切回手動，清除異常後，進入Jogpitch頁面使用 Reset 進行重新連線
2.程式關閉重新開啟
3.確認 EAS2 Elmo 連線正常 (如果異常需更換 Elmo 相關元件或網路線調整)
4. 聯絡 Mirle"
AGV,101102,Alarm,MotionDriver_Elmo Axis Setting format error,MotionDriver_Elmo Axis Setting format error,"MotionDriver_Elmo軸設定資料格式錯誤
1. 程式無法正常讀取xml 設定資料
2. 設定檔XML損毀會遺失
","1.程式重新開啟
2.重新取得Elmo設定檔資料再開啟程式
3.聯絡Mirle"
AGV,101103,Alarm,MotionDriver_Elmo Bulk Exception,MotionDriver_Elmo Bulk Exception,"MotionDriver_ElmoBulkException
1.程式從ELMO控制器取得bulk 資料出錯","1.重新開啟程式
2.確認 EAS2 Elmo 連線正常 (如果異常需更換 Elmo 相關元件或網路線調整)
3. 聯絡 Mirle"
AGV,101104,Alarm,MotionDriver_Elmo Disconnect : IPC witch controler,MotionDriver_Elmo Disconnect : IPC witch controler,"MotionDriver_Elmo斷線IPC與控制卡
1.程式與Elmo斷線造成台車急停","1.重新開啟程式
2.確認 EAS2 Elmo 連線正常 (如果異常需更換 Elmo 相關元件或網路線調整)
3. 聯絡 Mirle"
AGV,101105,Alarm,MotionDriver_Elmo Disconnect : controler witch driver,MotionDriver_Elmo Disconnect : controler witch driver,"MotionDriver_Elmo斷線控制卡與Driver
1.程式收到ELMO控制器與驅動器斷線,造成台車急停","1.重新開啟程式
2.確認 EAS2 Elmo 連線正常 (如果異常需更換 Elmo 相關元件或網路線調整)
3. 聯絡 Mirle"
AGV,101106,Warn,ElmoAlarmCode,ElmoAlarmCode,"Elmo警報代碼
1.收到ELMO發出的異常",
AGV,101110,Warn,MotionDriver Axis Error,MotionDriver Axis Error,"MotionDriver_Elmo軸異常
1.有任一軸有異常就會發出","1.查看Log (AlarmHistory,Motion), 並根據Elmo 所提供的異常碼 ec,mf, EE[1] 查找驅動器異查碼手冊
2.根據驅動器的異常碼查找相關問題"
AGV,101111,Warn,MotionDriver Axis XFL Error,MotionDriver Axis XFL Error,MotionDriver_Elmo軸異常_XFL ,"1.確認ElmoDriver是否發燙, 異味, 如有請更換
2.確認ElmoDriver燈號是否為綠燈,如不是請確認接線
3.查看Log (AlarmHistory,Motion), 並根據Elmo 所提供的異常碼 ec,mf, EE[1] 查找驅動器異查碼手冊
4.根據驅動器的異常碼查找相關問題"
AGV,101112,Warn,MotionDriver Axis XFR Error,MotionDriver Axis XFR Error,MotionDriver_Elmo軸異常_XFR,"1.確認ElmoDriver是否發燙, 異味, 如有請更換
2.確認ElmoDriver燈號是否為綠燈,如不是請確認接線
3.查看Log (AlarmHistory,Motion), 並根據Elmo 所提供的異常碼 ec,mf, EE[1] 查找驅動器異查碼手冊
4.根據驅動器的異常碼查找相關問題"
AGV,101113,Warn,MotionDriver Axis XRL Error,MotionDriver Axis XRL Error,MotionDriver_Elmo軸異常_XRL,"1.確認ElmoDriver是否發燙, 異味, 如有請更換
2.確認ElmoDriver燈號是否為綠燈,如不是請確認接線
3.查看Log (AlarmHistory,Motion), 並根據Elmo 所提供的異常碼 ec,mf, EE[1] 查找驅動器異查碼手冊
4.根據驅動器的異常碼查找相關問題"
AGV,101114,Warn,MotionDriver Axis XRR Error,MotionDriver Axis XRR Error,MotionDriver_Elmo軸異常_XRR,"1.確認ElmoDriver是否發燙, 異味, 如有請更換
2.確認ElmoDriver燈號是否為綠燈,如不是請確認接線
3.查看Log (AlarmHistory,Motion), 並根據Elmo 所提供的異常碼 ec,mf, EE[1] 查找驅動器異查碼手冊
4.根據驅動器的異常碼查找相關問題"
AGV,101115,Warn,MotionDriver Axis TFL Error,MotionDriver Axis TFL Error,MotionDriver_Elmo軸異常_TFL,"1.確認ElmoDriver是否發燙, 異味, 如有請更換
2.確認ElmoDriver燈號是否為綠燈,如不是請確認接線
3.查看Log (AlarmHistory,Motion), 並根據Elmo 所提供的異常碼 ec,mf, EE[1] 查找驅動器異查碼手冊
4.根據驅動器的異常碼查找相關問題"
AGV,101116,Warn,MotionDriver Axis TFR Error,MotionDriver Axis TFR Error,MotionDriver_Elmo軸異常_TFR,"1.確認ElmoDriver是否發燙, 異味, 如有請更換
2.確認ElmoDriver燈號是否為綠燈,如不是請確認接線
3.查看Log (AlarmHistory,Motion), 並根據Elmo 所提供的異常碼 ec,mf, EE[1] 查找驅動器異查碼手冊
4.根據驅動器的異常碼查找相關問題"
AGV,101117,Warn,MotionDriver Axis TRL Error,MotionDriver Axis TRL Error,MotionDriver_Elmo軸異常_TRL,"1.確認ElmoDriver是否發燙, 異味, 如有請更換
2.確認ElmoDriver燈號是否為綠燈,如不是請確認接線
3.查看Log (AlarmHistory,Motion), 並根據Elmo 所提供的異常碼 ec,mf, EE[1] 查找驅動器異查碼手冊
4.根據驅動器的異常碼查找相關問題"
AGV,101118,Warn,MotionDriver Axis TRR Error,MotionDriver Axis TRR Error,MotionDriver_Elmo軸異常_TRR,"1.確認ElmoDriver是否發燙, 異味, 如有請更換
2.確認ElmoDriver燈號是否為綠燈,如不是請確認接線
3.查看Log (AlarmHistory,Motion), 並根據Elmo 所提供的異常碼 ec,mf, EE[1] 查找驅動器異查碼手冊
4.根據驅動器的異常碼查找相關問題"
AGV,101119,Warn,MotionDriver Axis VXFL Error,MotionDriver Axis VXFL Error,MotionDriver_Elmo軸異常_VXFL,"1.查看Log (AlarmHistory,Motion), 並根據Elmo 所提供的異常碼 ec,mf, EE[1] 查找驅動器異查碼手冊
2.根據驅動器的異常碼查找相關問題"
AGV,101120,Warn,MotionDriver Axis VXFR Error,MotionDriver Axis VXFR Error,MotionDriver_Elmo軸異常_VXFR,"1.查看Log (AlarmHistory,Motion), 並根據Elmo 所提供的異常碼 ec,mf, EE[1] 查找驅動器異查碼手冊
2.根據驅動器的異常碼查找相關問題"
AGV,101121,Warn,MotionDriver Axis VXRL Error,MotionDriver Axis VXRL Error,MotionDriver_Elmo軸異常_VXRL,"1.查看Log (AlarmHistory,Motion), 並根據Elmo 所提供的異常碼 ec,mf, EE[1] 查找驅動器異查碼手冊
2.根據驅動器的異常碼查找相關問題"
AGV,101122,Warn,MotionDriver Axis VXRR Error,MotionDriver Axis VXRR Error,MotionDriver_Elmo軸異常_VXRR,"1.查看Log (AlarmHistory,Motion), 並根據Elmo 所提供的異常碼 ec,mf, EE[1] 查找驅動器異查碼手冊
2.根據驅動器的異常碼查找相關問題"
AGV,101123,Warn,MotionDriver Axis VTFL Error,MotionDriver Axis VTFL Error,MotionDriver_Elmo軸異常_VTFL,"1.查看Log (AlarmHistory,Motion), 並根據Elmo 所提供的異常碼 ec,mf, EE[1] 查找驅動器異查碼手冊
2.根據驅動器的異常碼查找相關問題"
AGV,101124,Warn,MotionDriver Axis VTFR Error,MotionDriver Axis VTFR Error,MotionDriver_Elmo軸異常_VTFR,"1.查看Log (AlarmHistory,Motion), 並根據Elmo 所提供的異常碼 ec,mf, EE[1] 查找驅動器異查碼手冊
2.根據驅動器的異常碼查找相關問題"
AGV,101125,Warn,MotionDriver Axis VTRL Error,MotionDriver Axis VTRL Error,MotionDriver_Elmo軸異常_VTRL,"1.查看Log (AlarmHistory,Motion), 並根據Elmo 所提供的異常碼 ec,mf, EE[1] 查找驅動器異查碼手冊
2.根據驅動器的異常碼查找相關問題"
AGV,101126,Warn,MotionDriver Axis VTRR Error,MotionDriver Axis VTRR Error,MotionDriver_Elmo軸異常_VTRR,"1.查看Log (AlarmHistory,Motion), 並根據Elmo 所提供的異常碼 ec,mf, EE[1] 查找驅動器異查碼手冊
2.根據驅動器的異常碼查找相關問題"
AGV,101127,Warn,MotionDriver Axis GX Error,MotionDriver Axis GX Error,MotionDriver_Elmo軸異常_GX,"1.查看Log (AlarmHistory,Motion), 並根據Elmo 所提供的異常碼 ec,mf, EE[1] 查找驅動器異查碼手冊
2.根據驅動器的異常碼查找相關問題"
AGV,101128,Warn,MotionDriver Axis GT Error,MotionDriver Axis GT Error,MotionDriver_Elmo軸異常_GT,"1.查看Log (AlarmHistory,Motion), 並根據Elmo 所提供的異常碼 ec,mf, EE[1] 查找驅動器異查碼手冊
2.根據驅動器的異常碼查找相關問題"
AGV,102000,Alarm,LocateControl Initail Fail,LocateControl Initail Fail,"LocateControl初始化失敗
1.SR2000啟動失敗","1.程式關閉重新開啟
2.台車斷電重開進行整體復歸動作
3.更換SR2000"
AGV,102100,Alarm,LocateDriver_BarcodeMapSystem Initail Fail,LocateDriver_BarcodeMapSystem Initail Fail,"LocateDriver_Sr2000初始化失敗
1.SR2000啟動失敗","1.程式關閉重新開啟
2.台車斷電重開進行整體復歸動作
3.更換SR2000"
AGV,102101,Alarm,LocateDriver_BarcodeMapSystem Connect Fail,LocateDriver_BarcodeMapSystem Connect Fail,"LocateDriver_Sr2000連線失敗 
1.SR2000啟動失敗","1.程式關閉重新開啟
2.台車斷電重開進行整體復歸動作
3.更換SR2000"
AGV,102102,Warn,LocateDriver_BarcodeMapSystem data format error,LocateDriver_BarcodeMapSystem data format error,"LocateDriver_Sr2000回傳資料格式錯誤
1.Barcode有損毀造成讀取失敗(或單純讀取失敗)
2.CRC check error","1.找到相對應的Barcode 確認狀態, 更換或去除掉有問題的Barcode"
AGV,102103,Warn,LocateDriver_BarcodeMapSystem LON Exception,LocateDriver_BarcodeMapSystem LON Exception,"LocateDriver_BarcodeMapSystemTriggerException
1.SR2000 LON失敗","1.程式關閉重新開啟
2.台車斷電重開進行整體復歸動作
3.更換SR2000"
AGV,102104,Warn,LocateDriver_BarcodeMapSystem Error,LocateDriver_BarcodeMapSystem Error,"LocateDriver_BarcodeMapSystemError
1.SR2000 其他異常","1.查看異常碼 
2.程式關閉重新開啟
3.台車斷電重開進行整體復歸動作
4.更換SR2000"
AGV,102200,Alarm,LocateDriver_SLAM_Sick Initail Fail,LocateDriver_SLAM_Sick Initail Fail,"LocateDriver_SLAM_Sick初始化失敗
1.SLAM系統啟動失敗","1.程式關閉重新開啟
2.台車斷電重開進行整體復歸動作
3.進到SLAM頁面查看狀況"
AGV,102201,Alarm,LocateDriver_SLAM_Sick Connect Fail,LocateDriver_SLAM_Sick Connect Fail,"LocateDriver_SLAM_Sick連線失敗 
1.SLAM系統連線異常","1.程式關閉重新開啟
2.台車斷電重開進行整體復歸動作
3.進到SLAM頁面查看狀況"
AGV,102202,Alarm,LocateDriver_SLAM_Sick data format error,LocateDriver_SLAM_Sick data format error,"LocateDriver_SLAM_Sick資料格式錯誤 
1.SLAM回傳資料錯誤 timeout 或是 crc check 異常","1.程式關閉重新開啟
2.台車斷電重開進行整體復歸動作
3.進到SLAM頁面查看狀況"
AGV,102203,Warn,LocateDriver_SLAM_Sick wrong locate,LocateDriver_SLAM_Sick wrong locate,"LocateDriver_SLAM_Sick經度迷航 
1.定位精度異常","1..進到SLAM頁面查看狀況，切回手動，台車進行重新定位，進行復歸後上線
2.程式關閉重新開啟
3.台車斷電重開進行整體復歸動作"
AGV,103000,Warn,CreateMoveCommandList Fail,CreateMoveCommandList Fail,"命令分解失敗 
1.路線命令分解錯誤",
AGV,103100,Warn,Can't Override : Can't Pause now,Can't Override : Can't Pause now,拒絕Override_當下不能Pause ,
AGV,103101,Alarm,Can't Override : Override Timeout,Can't Override : Override Timeout,拒絕Override_Timeout,"1.查看Log(查看 Debug)
2.聯絡Mirle"
AGV,104000,Warn,Can't Auto : MoveControl Status is not Idle,Can't Auto : MoveControl Status is not Idle,不能Auto_MoveControl不在Idle狀態,
AGV,104001,Warn,Can't Auto : Motion Driver Disconnect,Can't Auto : Motion Driver Disconnect,不能Auto_MoveCommandControlIntailFail ,
AGV,104002,Warn,Can't Auto : MoveCommandControl Intail Fail,Can't Auto : MoveCommandControl Intail Fail,不能Auto_MotionDriverDisconnect ,
AGV,104003,Warn,Can't Auto : Closing program,Can't Auto : Closing program,不能Auto_程式關閉中,
AGV,104004,Warn,Can't Auto : Axis Error,Can't Auto : Axis Error,不能Auto_有軸異常,
AGV,104005,Warn,Can't Auto : Wait ResetAlarm Finish,Can't Auto : Wait ResetAlarm Finish,不能Auto_ResetAlarm中,
AGV,104006,Warn,Can't Auto : JogPitch Action,Can't Auto : JogPitch Action,不能Auto_JogPitch控制中,
AGV,104007,Warn,Can't Auto : LocateControl Intail Fail,Can't Auto : LocateControl Intail Fail,不能Auto_LocateControlIntailFail ,
AGV,104008,Warn,Can't Auto : Locate Driver Disconnect,Can't Auto : Locate Driver Disconnect,不能Auto_LocateDriverDisconnect ,
AGV,104009,Warn,Can't Auto : Locate Driver Error,Can't Auto : Locate Driver Error,不能Auto_LocateDriverError ,
AGV,104010,Warn,Can't Auto : AutoAction Fail,Can't Auto : AutoAction Fail,不能Auto_AutoActionFail,
AGV,104100,Warn,Reject Move Command : MovecmdInfo data error,Reject Move Command : MovecmdInfo data error,拒絕移動命令_資料格式錯誤 ,
AGV,104101,Warn,Reject Move Command : Closing Program,Reject Move Command : Closing Program,拒絕移動命令_程式關閉中,
AGV,104102,Warn,Reject Move Command : MoveControl Status is not Idle,Reject Move Command : MoveControl Status is not Idle,拒絕移動命令_MoveControl不在Idle狀態,
AGV,104103,Warn,Reject Move Command : Charging,Reject Move Command : Charging,"拒絕移動命令_充電中
1.充電中不能移動",等待AGV充滿電即可恢復正常
AGV,104104,Warn,Reject Move Command : TRU isn't in home Status,Reject Move Command : TRU isn't in home Status,"拒絕移動命令_Fork不在Home點
1. 台車未處於自動狀態",切回手動，清除異常後，確認AGVC命令，然後進行復歸重新上線
AGV,104105,Warn,Reject Move Command : MoveControl driver disconnect,Reject Move Command : MoveControl driver disconnect,拒絕移動命令_MoveControl有Driver狀態不是Ready,切回手動，清除異常後，確認AGVC命令，然後進行復歸重新上線
AGV,104106,Warn,Reject Move Commandmiddler : No current coordinates,Reject Move Commandmiddler : No current coordinates,"拒絕移動命令_迷航中
1.定位異常","1.台車重新定位
2.切回手動，清除異常後，確認AGVC命令，然後進行復歸重新上線
2.觀察SLAM是否正常運作。"
AGV,104107,Warn,Reject Move Command : Not is start position,Reject Move Command : Not is start position,拒絕移動命令_和起點座標偏差過大,"1.台車重新定位
2.切回手動，清除異常後，確認AGVC命令，然後進行復歸重新上線
2.觀察SLAM是否正常運作。"
AGV,104108,Warn,Reject Move Command : Not is start AGV angle,Reject Move Command : Not is start AGV angle,拒絕移動命令_和起點車姿角度偏差過大,"1.台車重新定位
2.切回手動，清除異常後，確認AGVC命令，然後進行復歸重新上線
2.觀察SLAM是否正常運作。"
AGV,104109,Warn,Reject Move Command : in cancel flow,Reject Move Command : in cancel flow,拒絕移動命令_Cancel流程中,切回手動，清除異常後，確認AGVC命令，然後進行復歸重新上線
AGV,104110,Warn,Reject Move Command : in AutoRetry flow,Reject Move Command : in AutoRetry flow,拒絕移動命令_在自動重試流程中,切回手動，清除異常後，確認AGVC命令，然後進行復歸重新上線
AGV,104200,Alarm,SafetyStop : TRU isn't in home Status,SafetyStop : TRU isn't in home Status,"安全保護停止_Fork不在Home點
1.台車自動狀態訊號 Off
2.台車未處於自動狀態","1.確認台車是否在 Auto狀態
2.確認PLC W0A00條件是否有Sensor異常"
AGV,104201,Alarm,SafetyStop : Charging,SafetyStop : Charging,"安全保護停止_充電中
1.台車充電訊號On","1.確認充電機狀況(異常紀錄)
2.確認台車充電元件相關狀況"
